make,model,year,fuel_type,vehicle_type,avg_mpg,oil_capacity_l
Toyota,RAV4 Hybrid,2023,HYBRID,SUV,40,4.5
Toyota,Camry,2022,GASOLINE,SEDAN,32,4.8
Toyota,Tacoma,2024,GASOLINE,TRUCK,21,5.9
Ford,F-150,2023,GASOLINE,TRUCK,22,6
Ford,Transit 250,2023,DIESEL,VAN,18.5,7.2
Ford,Explorer,2022,GASOLINE,SUV,24,5.7
BMW,X5 xDrive40i,2023,GASOLINE,SUV,25,6.5
BMW,330i,2022,GASOLINE,SEDAN,30,5.3
BMW,i4 eDrive40,2024,ELECTRIC,SEDAN,109,0
Tesla,Model Y Long Range,2023,ELECTRIC,SUV,122,0
Tesla,Model 3 Standard,2023,ELECTRIC,SEDAN,132,0
Freightliner,eM2 106,2024,ELECTRIC,COMMERCIAL_TRUCK,55,0
