service_id,vehicle_id,service_type,mileage_at_service,service_date,cost_inr,technician_notes
SRV-5001,VH-1001,"Full Synthetic Oil Change & Multi-Point Inspection",101812,2026-06-05,5400,"Routine preventative maintenance completed successfully"
SRV-5002,VH-1001,"Full Synthetic Oil Change & Multi-Point Inspection",96521,2025-11-19,5400,"Routine preventative maintenance completed successfully"
SRV-5003,VH-1002,"Full Synthetic Oil Change & Multi-Point Inspection",115507,2026-05-20,5400,"Routine preventative maintenance completed successfully"
SRV-5004,VH-1002,"Full Synthetic Oil Change & Multi-Point Inspection",109986,2025-12-04,5400,"Routine preventative maintenance completed successfully"
SRV-5005,VH-1002,"Full Synthetic Oil Change & Multi-Point Inspection",113625,2025-11-04,5400,"Routine preventative maintenance completed successfully"
SRV-5006,VH-1003,"EV Battery & Brake Inspection",143305,2025-10-16,7500,"Routine preventative maintenance completed successfully"
SRV-5007,VH-1003,"EV Battery & Brake Inspection",144596,2026-05-10,7500,"Routine preventative maintenance completed successfully"
SRV-5008,VH-1004,"EV Battery & Brake Inspection",30120,2025-11-03,7500,"Routine preventative maintenance completed successfully"
SRV-5009,VH-1004,"EV Battery & Brake Inspection",34434,2026-04-02,7500,"Routine preventative maintenance completed successfully"
SRV-5010,VH-1005,"Full Synthetic Oil Change & Multi-Point Inspection",137229,2025-10-22,5400,"Routine preventative maintenance completed successfully"
SRV-5011,VH-1005,"Full Synthetic Oil Change & Multi-Point Inspection",132150,2026-03-30,5400,"Routine preventative maintenance completed successfully"
SRV-5012,VH-1006,"Full Synthetic Oil Change & Multi-Point Inspection",354,2026-07-18,5400,"Routine preventative maintenance completed successfully"
SRV-5013,VH-1006,"Full Synthetic Oil Change & Multi-Point Inspection",9292,2026-06-12,5400,"Routine preventative maintenance completed successfully"
SRV-5014,VH-1006,"Full Synthetic Oil Change & Multi-Point Inspection",8979,2026-06-01,5400,"Routine preventative maintenance completed successfully"
SRV-5015,VH-1007,"Full Synthetic Oil Change & Multi-Point Inspection",138407,2025-11-21,5400,"Routine preventative maintenance completed successfully"
SRV-5016,VH-1007,"Full Synthetic Oil Change & Multi-Point Inspection",129374,2026-02-05,5400,"Routine preventative maintenance completed successfully"
SRV-5017,VH-1007,"Full Synthetic Oil Change & Multi-Point Inspection",134181,2026-05-07,5400,"Routine preventative maintenance completed successfully"
SRV-5018,VH-1008,"EV Battery & Brake Inspection",161864,2025-10-08,7500,"Routine preventative maintenance completed successfully"
SRV-5019,VH-1009,"Full Synthetic Oil Change & Multi-Point Inspection",17003,2025-10-28,5400,"Routine preventative maintenance completed successfully"
SRV-5020,VH-1009,"Full Synthetic Oil Change & Multi-Point Inspection",19022,2026-03-23,5400,"Routine preventative maintenance completed successfully"
SRV-5021,VH-1009,"Full Synthetic Oil Change & Multi-Point Inspection",19068,2025-11-01,5400,"Routine preventative maintenance completed successfully"
SRV-5022,VH-1010,"Full Synthetic Oil Change & Multi-Point Inspection",33455,2026-06-16,5400,"Routine preventative maintenance completed successfully"
SRV-5023,VH-1010,"Full Synthetic Oil Change & Multi-Point Inspection",34906,2025-12-11,5400,"Routine preventative maintenance completed successfully"
SRV-5024,VH-1010,"Full Synthetic Oil Change & Multi-Point Inspection",25044,2026-02-20,5400,"Routine preventative maintenance completed successfully"
SRV-5025,VH-1011,"Full Synthetic Oil Change & Multi-Point Inspection",139821,2026-05-07,5400,"Routine preventative maintenance completed successfully"
SRV-5026,VH-1012,"EV Battery & Brake Inspection",171948,2026-05-10,7500,"Routine preventative maintenance completed successfully"
SRV-5027,VH-1012,"EV Battery & Brake Inspection",176089,2025-11-23,7500,"Routine preventative maintenance completed successfully"
SRV-5028,VH-1013,"Full Synthetic Oil Change & Multi-Point Inspection",31599,2026-03-07,5400,"Routine preventative maintenance completed successfully"
SRV-5029,VH-1014,"Full Synthetic Oil Change & Multi-Point Inspection",98503,2026-02-23,5400,"Routine preventative maintenance completed successfully"
SRV-5030,VH-1015,"EV Battery & Brake Inspection",157081,2026-01-10,7500,"Routine preventative maintenance completed successfully"
SRV-5031,VH-1015,"EV Battery & Brake Inspection",159639,2026-05-02,7500,"Routine preventative maintenance completed successfully"
SRV-5032,VH-1016,"EV Battery & Brake Inspection",153019,2026-07-19,7500,"Routine preventative maintenance completed successfully"
SRV-5033,VH-1016,"EV Battery & Brake Inspection",159741,2026-05-25,7500,"Routine preventative maintenance completed successfully"
SRV-5034,VH-1016,"EV Battery & Brake Inspection",151521,2025-10-22,7500,"Routine preventative maintenance completed successfully"
SRV-5035,VH-1017,"Full Synthetic Oil Change & Multi-Point Inspection",37108,2025-11-04,5400,"Routine preventative maintenance completed successfully"
SRV-5036,VH-1017,"Full Synthetic Oil Change & Multi-Point Inspection",33816,2026-04-19,5400,"Routine preventative maintenance completed successfully"
SRV-5037,VH-1017,"Full Synthetic Oil Change & Multi-Point Inspection",37887,2025-12-29,5400,"Routine preventative maintenance completed successfully"
SRV-5038,VH-1018,"Full Synthetic Oil Change & Multi-Point Inspection",101982,2025-11-02,5400,"Routine preventative maintenance completed successfully"
SRV-5039,VH-1018,"Full Synthetic Oil Change & Multi-Point Inspection",92325,2026-01-04,5400,"Routine preventative maintenance completed successfully"
SRV-5040,VH-1018,"Full Synthetic Oil Change & Multi-Point Inspection",93078,2026-01-18,5400,"Routine preventative maintenance completed successfully"
SRV-5041,VH-1019,"Full Synthetic Oil Change & Multi-Point Inspection",3865,2025-10-28,5400,"Routine preventative maintenance completed successfully"
SRV-5042,VH-1019,"Full Synthetic Oil Change & Multi-Point Inspection",3209,2026-07-10,5400,"Routine preventative maintenance completed successfully"
SRV-5043,VH-1020,"EV Battery & Brake Inspection",173587,2026-03-18,7500,"Routine preventative maintenance completed successfully"
SRV-5044,VH-1020,"EV Battery & Brake Inspection",179002,2025-12-03,7500,"Routine preventative maintenance completed successfully"
SRV-5045,VH-1021,"Full Synthetic Oil Change & Multi-Point Inspection",175895,2026-02-10,5400,"Routine preventative maintenance completed successfully"
SRV-5046,VH-1022,"Full Synthetic Oil Change & Multi-Point Inspection",8961,2025-09-28,5400,"Routine preventative maintenance completed successfully"
SRV-5047,VH-1023,"Full Synthetic Oil Change & Multi-Point Inspection",46232,2026-03-18,5400,"Routine preventative maintenance completed successfully"
SRV-5048,VH-1023,"Full Synthetic Oil Change & Multi-Point Inspection",35987,2026-04-08,5400,"Routine preventative maintenance completed successfully"
SRV-5049,VH-1024,"EV Battery & Brake Inspection",29382,2026-02-03,7500,"Routine preventative maintenance completed successfully"
SRV-5050,VH-1025,"Full Synthetic Oil Change & Multi-Point Inspection",126957,2026-06-09,5400,"Routine preventative maintenance completed successfully"
SRV-5051,VH-1026,"Full Synthetic Oil Change & Multi-Point Inspection",88545,2026-03-25,5400,"Routine preventative maintenance completed successfully"
SRV-5052,VH-1026,"Full Synthetic Oil Change & Multi-Point Inspection",84224,2025-11-19,5400,"Routine preventative maintenance completed successfully"
SRV-5053,VH-1026,"Full Synthetic Oil Change & Multi-Point Inspection",79053,2026-03-18,5400,"Routine preventative maintenance completed successfully"
SRV-5054,VH-1027,"EV Battery & Brake Inspection",125167,2026-07-02,7500,"Routine preventative maintenance completed successfully"
SRV-5055,VH-1027,"EV Battery & Brake Inspection",117467,2026-03-19,7500,"Routine preventative maintenance completed successfully"
SRV-5056,VH-1027,"EV Battery & Brake Inspection",119475,2025-10-11,7500,"Routine preventative maintenance completed successfully"
SRV-5057,VH-1028,"EV Battery & Brake Inspection",149081,2026-04-11,7500,"Routine preventative maintenance completed successfully"
SRV-5058,VH-1028,"EV Battery & Brake Inspection",145396,2025-09-30,7500,"Routine preventative maintenance completed successfully"
